,Regio,Minstens één dosis,Volledig gevaccineerd,Boosterprik,2de boosterprik,3de boosterprik
0,Brussel,76.20738636363636,74.63614024143513,49.39051119503642,6.173287024548152,0.16628169678985702
1,Vlaanderen,94.22674188183613,93.24617287883221,84.81363503357645,30.91552738896441,4.33852752601109
2,Duitstalige gemeenschap,82.22099360240107,80.88934523339388,65.68675460074243,10.12242318932154,0.8609114603901745
3,Wallonië,85.86276167285584,84.6969830782667,67.59539239888805,14.597430689023373,0.666825075734955
